Názov zastávky;Kód zastávky;Správca zastávky;Long;Lat
Abrahámovce,,rázc.;16549;Abrahámovce;20.4388;49.0445
Abrahámovce,,rázc.;16549;Abrahámovce;20.438995;49.044746
Abrahámovce,OcÚ;17165;Abrahámovce;20.44721;49.04185
Abrahámovce,rázc.;16549;Abrahámovce;20.43888;49.0447
Adidovce,,OcÚ;21286;Adidovce;22.036881;49.015314
Adidovce,,OcÚ;21286;Adidovce;22.036776;49.015153
Arnutovce,Jednota;18516;Arnutovce;20.47724;48.98531
Arnutovce,rázc.;18314;Arnutovce;20.4906;48.9746
Babie,,kostol ;16167;Babie;21.493;49.068802
Babie,,kostol ;16167;Babie;21.493;49.068802
Babie,,otoč.;16168;Babie;21.48753;49.072578
Babie,,otoč.;16168;Babie;21.48753;49.072578
Bajerovce,,cint.;16678;Bajerovce;20.79066;49.20982
Bajerovce,,cint.;16678;Bajerovce;20.79066;49.20982
Bajerovce,,OcÚ;16679;Bajerovce;20.794743;49.211746
Bajerovce,,OcÚ;16679;Bajerovce;20.794741;49.211868
Bajerovce,cint.;16678;Bajerovce;20.79142;49.209309
Bajerovce,cint.;16678;Bajerovce;20.79142;49.209309
Baldovce,OcÚ;18517;Baldovce;20.7136;48.99321
Baldovce,žriedla;18557;Baldovce;20.707293;48.99115
Balog n.Ipľom;5801;Balog n.Ipľom;19.129485;48.077312
Balog n.Ipľom;5801;Balog n.Ipľom;19.129485;48.077312
Bardejov, AS pred žel.st.;22364;Bardejov;21.282182888938;49.2966293311175
Bardejov, AS pred žel.st.;22364;Bardejov;21.2821786161956;49.2966664353815
Bardejov, B.N.VES-UL.BREZOVÁ;23560;Bardejov;21.31053;49.30323
Bardejov, Starý Blich;17223;Bardejov;21.27679;49.28711
Bardejov, Starý Blich;17223;Bardejov;21.27679;49.28711
Bardejov, UL.FUČÍKOVA;23227;Bardejov;21.270851;49.295804
Bardejov, UL.FUČÍKOVA;23227;Bardejov;21.270851;49.295804
Bardejov, VI.ZŠ;22072;Bardejov;21.257;49.29354
Bardejov, VI.ZŠ;22072;Bardejov;21.257;49.29354
Bardejov,,AS;7774;Bardejov;21.28285;49.29768
Bardejov,,OÚ;21436;Bardejov;21.2740707397461;49.2942886352539
Bardejov,,OÚ;21436;Bardejov;21.2740707397461;49.2942886352539
Bardejov,,STS;17252;Bardejov;21.2580299377441;49.2961196899414
Bardejov,,STS;17252;Bardejov;21.2580299377441;49.2961196899414
Bardejov,,športová hala;1482;Bardejov;21.270519;49.293831
Bardejov,,športová hala;1482;Bardejov;21.270519;49.293831
Bardejov,,V. ZŠ;17239;Bardejov;21.277291;49.301441
Bardejov,,V. ZŠ;17239;Bardejov;21.277353;49.301429
Bardejov,AS;7774;Bardejov;21.282174;49.297465
Bardejov,BARD.ZÁBAVA Č.D.23;17260;Bardejov;21.26399;49.273621
Bardejov,BARD.ZÁBAVA Č.D.23;17260;Bardejov;21.26399;49.273621
Bardejov,BARD.ZÁBAVA-MOST;22853;Bardejov;21.259781;49.271881
Bardejov,BARD.ZÁBAVA-MOST;22853;Bardejov;21.259781;49.271881
